denomination,siren,nom_commune,libelle_section_naf,activite_declaree,url_annonce
ROCRI,130092141,Fabrègues,Activites immobilieres,"l'acquisition de tous immeubles et de tous terrains ; la construction de tous immeubles, l'administration et l'exploitation, par location ou autrement des biens sus désignés, l'entretien et, éventuellement, l'aménagement de ces biens et généralement toutes opérations se rattachant directement ou indirectement à cet objet à la condition que ces opérations ne modifient pas le caractère essentiellement civil de la société.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811553
Lopes pinto Hugo,921997383,Frontignan,Information et communication,"développement, conception, création, maintenance et commercialisation de logiciels, applications web et sites internet, ainsi que de solutions saas accessibles par abonnement mensuel ou annuel.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811502
Zoli,978833655,Frontignan,"Commerce, reparation d'automobiles",vente divers objet sur les marchés,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811517
Archi et Mollie,523077527,Gabian,"Commerce, reparation d'automobiles","création, conception et vente à distance de box créatives et éducatives pour enfants, comprenant des activités manuelles, jeux, supports pédagogiques et accessoires de loisirs créatifs.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811431
TOURE Cheikh,894036037,Gigean,Transports et entreposage,"coursier, livraisons à domicile sans véhicule motorisé",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811525
"Porte Nicolas, André",535385835,Grabels,"Commerce, reparation d'automobiles","achat et revente de marchandises neuves ou d'occasion et vente d'affiches imprimées, via des plateformes de vente en ligne.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811516
GROUP BARGAZ,130061146,Juvignac,"Activites specialisees, scientifiques et techniques","société a pour objet, en france et à l'étranger : la prise de participations, directe ou indirecte, dans toutes sociétés, entreprises ou groupements, par voie de création, acquisition, souscription, apport, fusion, alliance ou autrement ; la détention, la gestion, l'administration, l'arbitrage et, le cas échéant, la cession de ces participations l'animation effective des sociétés qu'elle contrôle directement ou indirectement, notamment par la participation active à la conduite de la politique du groupe et au contrôle de ses filiales ; la fourniture à ses filiales et participations de prestations administratives, financières, comptables, juridiques, fiscales, informatiques, commerciales, stratégiques, de gestion, de ressources humaines, de communication et de direction ; la gestion centralisée ou coordonnée de la trésorerie du groupe et la réalisation d'opérations de trésorerie avec les sociétés liées, dans le respect de l'article l. 511-7 du code monétaire et financier ; la souscription, l'acquisition, la détention, l'administration et la cession de valeurs mobilières, titres de participation, parts sociales, droits sociaux et instruments financiers ; l'acquisition, la détention, la gestion, l'administration, la location et la cession de tous biens et droits immobiliers utiles à la réalisation de l'objet social ; le dépôt, l'acquisition, l'exploitation, la gestion, la concession et la cession de brevets, marques, noms de domaine, logiciels et autres droits de propriété intellectuelle.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811538
"Pichet Mathis, Yanis, Clément",107967176,Juvignac,Secteur non renseigne,livraison de repas et de commandes à domicile à vélo via une plateforme numérique.,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811515
SADDIK Si Rachid,501158877,Juvignac,"Commerce, reparation d'automobiles","vente d'articles de décoration de la maison, autres produits, matelas et housses de matelas",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811522
ateepick,109940510,Juvignac,"Commerce, reparation d'automobiles",vente en ligne de vêtements,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811489
JMB LOGISTIQUE,109776948,La Grande-Motte,Secteur non renseigne,"- la réalisation de prestations de conseils et de services (consulting) dans le domaine de la logistique. - l'achat, la souscription, la cession, la détention ou rapport de tous droits sociaux, actions ou autres valeurs mobilières dans toutes sociétés ; - la prise de participation par tous moyens dans toutes entreprises ou sociétés ; - l'acquisition et l'exploitation de biens, de valeurs, et de droits, dans le secteur immobilier, financier ou industriel ; - toutes prestations de services et de conseils en matière de stratégie, management, organisation, ressources humaines, technologie, informatique et télécommunication, communication, gestion immobilière, gestion financière et administrative, contrôle et suivi, juridique, marketing et achats ; et plus généralement toutes prestations liées à la direction et à la marche des affaires, envers ses filiales et participations directes ou indirectes ; - toutes prestations de services liées à l'identification et à l'évaluation de possibilités d'investissement ou de désinvestissement, d'assistance à la réalisation d'investissement ou de désinvestissement.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811540
Rives,492798301,La Grande-Motte,Hebergement et restauration,bar à vin,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811480
Rugby Approved Montpellier,445026651,La Grande-Motte,"Commerce, reparation d'automobiles",achat-vente de vêtements et accessoires,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811486
DE LA MOTTE JL,130134695,Lansargues,Secteur non renseigne,"l'acquisition d'un immeuble, l'administration et l'exploitation par bail, location ou autrement dudit immeuble et de tous autres immeubles bâtis dont elle pourrait devenir propriétaire ultérieurement, par voie d'acquisition, échange, apport ou autrement.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811534
MDH,130142425,Lansargues,Activites immobilieres,"l'acquisition d'un immeuble, l'administration et l'exploitation par bail, location ou autrement dudit immeuble et de tous autres immeubles bâtis dont elle pourrait devenir propriétaire ultérieurement, par voie d'acquisition, échange, apport ou autrement.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811546
Bánh mi Bike,853305654,Lattes,Hebergement et restauration,- vente de boissons en canettes sans alcool (afin de créer un menu).,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811511
Salez Maxime Gabriel Daniel,109955088,Lattes,Transports et entreposage,livraison à domicile de repas et autres activités de poste et de courrier n. c. a. : livraisons uber eats,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811523
EMEORA,130273824,Lieuran-lès-Béziers,Industrie manufacturiere,"vente à distance, via des plateformes de commerce en ligne (etsy), de produits imprimés à la demande (tote bags, mug, posters, t-shirts) avec des design personnalisés. les produits sont fabriqués et expédiés par un prestataire d'impression à la demande, sans stockage physique par l'entrepreneur",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811424
BÄTIMENTS KORE,850015314,Lunel,Construction,"achat et vente de produits non alimentaire non réglementés, nettoyage haies débroussaillage espace vert entretien parcs et jardins",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811499
Niko,109739169,Lunel,Secteur non renseigne,"marché, foire, vêtements et toute autre article pour homme, femme, enfants. vente de divers produits, articles, dans divers domaines.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811487
PESCA PIZZA,130147580,Lunel,Secteur non renseigne,,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811550
Qualys&Co,130248073,Lunel-Viel,Activites immobilieres,"activité de sous-location professionnelle, mise à disposition par location ou sous-location ou autres moyens d'appartements et de maisons, meublés ou non, de tourisme ou non, sans caractère ou avec caractère hôtelier ou para hôtelier; prise à bail d'immeubles; location ou sous-location meublée et gestion de biens immobiliers; acquisition de meubles, équipements, aménagements destinés à équiper les biens immobiliers; toutes activités de location, sous-location, de bureaux, salles, équipements. - activité de consulting dans le domaine communication auprès des entreprises.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811552
DELCAMBRE Joris,948867072,Lézignan-la-Cèbe,Information et communication,"exploitation d'un site internet de mise en relation entre particuliers et marques, rémunérée en commissions d'affiliation et de parrainage. rédaction de contenus éditoriaux et de vidéos destinés à ce site. activité exercée à distance, sans réception de clientèle, sans stockage ni vente de marchandises.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811434
BOURAGA Gabin,853554723,Maraussan,"Commerce, reparation d'automobiles","vente à distance sur catalogue générale. vente, notamment en ligne, de vêtements et accessoires de mode (produits non réglementés), ainsi que revente de produits capillaires et cosmétiques (produits réglementés).",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811430
Studio Chips,109935916,Marsillargues,Secteur non renseigne,"création, production et diffusion de contenus numériques et audiovisuels sur internet, notamment diffusion de vidéos et de contenus en direct (streaming) sur twitch et autres plateformes de diffusion, ainsi que création et publication de contenus sur youtube, tiktok et réseaux sociaux.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811519
ETS AS CASTRES,130212137,Mauguio,Secteur non renseigne,"la société a pour objet, directement ou indirectement, en france ou à l'étranger : la vente à domicile de matériaux d'isolation et de rénovation d'habitation, la participation de la société, par tous moyens, directement ou indirectement, dans toutes opérations pouvant se rattacher à son objet par voie de création de sociétés nouvelles, d'apport, de souscription ou d'achat de titres ou droits sociaux, de fusion ou autrement, de création, d'acquisition, de location, de prise en location-gérance de tous fonds de commerce ou établissements ; la prise, l'acquisition, l'exploitation ou la cession de tous procédés et brevets concernant ces activités. et énéralement, toutes opérations industrielles, commerciales, financières, civiles, mobilières ou immobilières, pouvant se rattacher directement ou indirectement à l'objet social ou à tout objet similaire ou connexe.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811535
LE 311,130110422,Mauguio,Secteur non renseigne,"l'acquisition, la mise en valeur, la gestion, la location, l'exploitation, la cession, l'administration de tous biens immobiliers lesdites activités pouvant être exercées directement ou indirectement et notamment par voie de création d'immeuble, d'apports, de reprise en location, d'immeuble existant ; exploiter les biens dont les associés sont propriétaires et qui auront été mis à sa disposition, par prise de participation dans d'autres sociétés, par acquisition d'usufruit et/ou de nue-propriété d'immeuble et/ou de parts sociales.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811542
Lo Maya,817428352,Mauguio,Information et communication,"édition et vente d'applications et de logiciels pour téléphones et tablettes, commercialisés en ligne sur les plateformes de téléchargement.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811527
Ness'B,909159907,Montady,"Commerce, reparation d'automobiles","création de contenu et promotion de produits et services sur les réseaux sociaux, notamment dans le cadre de l'affiliation et du marketing d'influence sur les réseaux.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811427
ADrénaline,109905067,Montpellier,Secteur non renseigne,"prestation de services, assistance opérationnelle et logistique auprès des entreprises.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811488
AMARA INVEST,109764159,Montpellier,"Activites specialisees, scientifiques et techniques","la prise sous toutes ses formes, de tous intérêts et participations, dans toutes sociétés ou entreprises ; la détention et la gestion de titres et de valeurs mobilières ; le suivi actif des participations avec notamment la détention d'un mandat social dans leur organe d'administration ou de contrôle ; toutes activités de prestations de services, notamment en matière administratives, comptable, informatique, publicitaire et financière, l'assistance à la gestion, à l'orientation commerciales, la coordination d'actions collectives, la recherche, le développement et le recrutement ; l'acquisition, l'aliénation, l'échange, la prise à bail ou la location et l'exploitation sous toutes formes de tous immeubles, bâtis ou non bâtis, urbains ou ruraux, de toutes entreprises industrielles ou commerciales, de tous fonds de commerce, de tous fonds d'industries et de tous établissements industriels ou commerciaux ; l'initiation, l'étude, le montage financier, la réalisation, la gestion et la commercialisation d'affaires immobilières, soit pour son compte, soit en qualité de prestataire de services, en toutes qualités ; l'acquisition et la vente de terrains ou d'immeubles dans le cadre d'opérations immobilières et notamment celles de marchand de biens",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811532
"AZZOUZ Amal, Fatima, Zohra",999368343,Montpellier,"Activites specialisees, scientifiques et techniques","vente en ligne de e-books de langues, guides de conversation, pdf de vocabulaire trilingue, cours en ligne, formations vidéo, packs professionnels pour entreprises, modèles d'e-mails multilingues, modèles de documents, audios de prononciation, podcasts éducatifs, flashcards numériques, fiches de grammaire, exercices corrigés, quiz interactifs, dictionnaires spécialisés",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811473
"BAGHDADLI Safi, Ryad",832892640,Montpellier,Enseignement,"coursier, livraisons à domicile sans véhicule motorisé",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811474
"BOUHAJRA-SADI Safir, Mohamed",130179856,Montpellier,Secteur non renseigne,"livraison de repas et de produits à domicile, à vélo.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811476
Belani,109962530,Montpellier,Secteur non renseigne,"vente en ligne de produits de consommation courante et d'accessoires divers (mode, maison, bien-être, beauté, high-tech, etc.) via un site e-commerce, avec livraison à domicile. la nature précise des produits est susceptible d'évoluer selon les opportunités commerciales.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811520
CARIO FIT,130036619,Montpellier,"Commerce, reparation d'automobiles",vente d articles de sport accessoires vente d'artisanat textile accessoire de mode bijoux fantaisies maroquineries - vente d'artisanat articles de sport textile accessoire de mode bijoux fantaisies maroquineries,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811514
Chelikhate Sabrina,839528478,Montpellier,Services administratifs et de soutien,mise en relation commerciale et apport d'affaires pour le compte de professionnels.,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811483
Coef,915280978,Montpellier,"Commerce, reparation d'automobiles",vente de logiciel pour restaurateurs,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811481
"ELVIS Ohene, Darko",109923045,Montpellier,"Commerce, reparation d'automobiles","la vente et le commerce en ligne de mobilier et accessoires de décoration d'intérieur, exclusivement neufs",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811490
FORMAVISE EUROPE,130220569,Montpellier,Secteur non renseigne,"la société a pour objet, en france et à l'étranger : le conseil, le développement de formules, le sourcing, l'achat, la vente, l'importation et l'exportation de produits finis, semi-finis, formules et ingrédients dans les secteurs de la nutrition, du bien-être, de la beauté, de la cosmétique et de l'alimentation fonctionnelle. la coordination et le suivi de projets oem/odm, de la conception jusqu'au produit fini. et plus généralement, toutes opérations se rattachant directement ou indirectement à l'objet social ci-dessus ou à tout objet similaire ou complémentaire.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811536
GRAM MEAL,130247661,Montpellier,"Commerce, reparation d'automobiles","la mise à disposition, la vente de repas et produits alimentaires frais, notamment au moyen de distributeurs automatiques de type casiers, frigos ou lockers installés dans des salles de sport, centres de remise en forme, établissements sportifs et, plus généralement, dans tous lieux recevant du public ou des salariés",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811537
Gen Corp,109969840,Montpellier,Information et communication,"édition et exploitation d'un jeu de société en ligne. l'activité consiste à développer, héberger et opérer une application web de jeu (scénarios d'enquête à jouer entre joueurs), accessible gratuitement, et à commercialiser en ligne un accès payant à des fonctionnalités et contenus additionnels (catalogue de scénarios, bibliothèque personnelle) sous forme d'achat unique.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811513
H. I RENOVATION,130138076,Montpellier,Secteur non renseigne,"la société a pour objet directement ou indirectement, tant en france qu'à l'étranger : tous travaux de second œuvre, de finition et de rénovation du bâtiment, notamment carrelage - la société a pour objet directement ou indirectement, tant en france qu'à l'étranger : tous travaux de second œuvre, de finition et de rénovation du bâtiment, notamment peinture, plâtrerie, isolation. - la société a pour objet directement ou indirectement, tant en france qu'à l'étranger : tous travaux de second œuvre, de finition et de rénovation du bâtiment, notamment climatisation.",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811539
Hamoujane Kahil,109860882,Montpellier,Transports et entreposage,livraison de repas à domicile à vélo,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811493
Korchi Khadija,109932350,Montpellier,Secteur non renseigne,"la vente et le commerce en ligne de mobilier et accessoires de décoration d'intérieur, exclusivement neufs",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811500
Livori et Canet,130250665,Montpellier,Autres activites de services,"les services de conciergerie privée à destination des particuliers, sans prestation de ménage - les activités de producteurs ou d'organisateurs d'événements privés pour particuliers et entreprises - apporteur d'affaires et intermédiation commerciale, rémunérée par les clients ou les prestataires, à l'exclusion de tout courtage en assurance, de toute intermédiation en opérations de banque et de toute opération relevant de la loi n 70-9 du 2 janvier 1970, la société ne percevant aucun fonds pour le compte de tiers, ne réalisant elle-même aucune prestation de transport, d'hébergement ou de restauration et n'exerçant aucune activité relevant de l'article l. 211-1 du code du tourisme",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811544
Lms,952002582,Montpellier,Transports et entreposage,livraison de repas à domicile en vélo,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811510
Lucas Bouchez,109944363,Montpellier,Secteur non renseigne,"achat et revente de produits divers via internet, principalement sur tiktok shop, incluant la gestion des commandes, la promotion en ligne et la vente à distance",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811479
"MARCEL Maëlle, Marie",109886333,Montpellier,Secteur non renseigne,"la vente et le commerce en ligne de chaussures, vêtements et accessoires de mode, vêtements, équipements et accessoires de sport, mercerie et tissus, bijoux fantaisie, montres, sacs et valises, parfums et cosmétiques, produits d'hygiène et de beauté, neufs et d'occasion - coursier à vélo : livraison de repas à vélo",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811504
MILOUDI Bryan,899955033,Montpellier,Transports et entreposage,coursier livraison à domicile,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811507
"Mazas Jennifer, Natacha",109877944,Montpellier,Secteur non renseigne,"vente de produits menager,produit esthetique et vetements",https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811508
"Mendes Kelyann, Tony, Francois",812455962,Montpellier,Transports et entreposage,livraison velo,https://www.bodacc.fr/pages/annonces-commerciales-detail/?q.id=id:A202601811509
