jour_fin,fenetre_jours,code_commune,section_naf,nom_commune,libelle_section_naf,nb_creations,nb_immatriculations,nb_transferts,nb_ventes_fonds,nb_modifications,nb_radiations,nb_sauvegardes,nb_redressements,nb_liquidations,nb_plans_cession,nb_defaillances,nb_depots_comptes,nb_evenements,solde_net
2026-09-22,30,34095,G,Fabrègues,"Commerce, reparation d'automobiles",1,0,0,0,1,0,0,0,0,0,0,4,6,1
2026-09-22,30,34114,G,Gignac,"Commerce, reparation d'automobiles",0,0,1,0,1,0,0,0,0,0,0,4,6,0
2026-09-22,30,34116,G,Grabels,"Commerce, reparation d'automobiles",2,0,1,0,1,0,0,0,0,0,0,2,6,2
2026-09-22,30,34147,G,Magalas,"Commerce, reparation d'automobiles",0,0,0,0,0,4,0,0,0,0,0,2,6,-4
2026-09-22,30,34150,G,Marseillan,"Commerce, reparation d'automobiles",1,0,0,0,1,0,0,0,0,0,0,4,6,1
2026-09-22,30,34150,I,Marseillan,Hebergement et restauration,0,0,0,0,2,1,0,0,0,0,0,3,6,-1
2026-09-22,30,34154,J,Mauguio,Information et communication,2,0,0,0,1,1,0,0,0,0,0,2,6,1
2026-09-22,30,34154,N,Mauguio,Services administratifs et de soutien,0,0,0,0,1,0,0,0,0,0,0,5,6,0
2026-09-22,30,34199,K,Pézenas,Activites financieres et d'assurance,0,0,0,0,0,0,0,0,0,0,0,6,6,0
2026-09-22,30,34255,L,Saint-Gély-du-Fesc,Activites immobilieres,0,0,1,0,0,1,0,0,0,0,0,4,6,-1
2026-09-22,30,34298,K,Sauvian,Activites financieres et d'assurance,0,0,1,0,0,0,0,0,0,0,0,5,6,0
2026-09-22,30,34299,I,Sérignan,Hebergement et restauration,1,0,0,0,0,1,0,0,0,0,0,3,6,0
2026-09-22,30,34301,C,Sète,Industrie manufacturiere,0,0,0,0,3,1,0,0,0,0,0,2,6,-1
2026-09-22,30,34301,R,Sète,"Arts, spectacles et activites recreatives",1,0,0,0,1,1,0,0,0,0,0,3,6,0
2026-09-22,30,34301,Q,Sète,Sante humaine et action sociale,0,0,0,0,0,0,0,1,0,0,1,5,6,0
2026-09-22,30,34309,L,Teyran,Activites immobilieres,2,0,0,0,1,0,0,0,0,0,0,3,6,2
2026-09-22,30,34341,F,Villeveyrac,Construction,0,0,0,0,0,0,0,0,0,0,0,6,6,0
2026-09-22,30,34344,G,La Grande-Motte,"Commerce, reparation d'automobiles",2,0,1,0,0,1,0,0,0,0,0,2,6,1
2026-09-22,30,,Z,,Secteur non renseigne,0,0,0,0,0,5,0,0,0,0,0,0,5,-5
2026-09-22,30,34003,K,Agde,Activites financieres et d'assurance,0,0,0,0,0,0,0,0,0,0,0,5,5,0
2026-09-22,30,34022,H,Baillargues,Transports et entreposage,2,0,0,0,0,2,0,0,0,0,0,0,5,0
2026-09-22,30,34057,J,Castelnau-le-Lez,Information et communication,1,0,0,0,1,0,0,0,0,0,0,3,5,1
2026-09-22,30,34057,K,Castelnau-le-Lez,Activites financieres et d'assurance,0,0,0,0,0,0,0,0,0,0,0,5,5,0
2026-09-22,30,34116,N,Grabels,Services administratifs et de soutien,0,0,0,0,0,0,0,0,0,0,0,5,5,0
2026-09-22,30,34116,K,Grabels,Activites financieres et d'assurance,0,0,0,0,0,0,0,0,0,0,0,5,5,0
2026-09-22,30,34134,F,Lavérune,Construction,0,0,0,0,0,0,0,0,0,0,0,5,5,0
2026-09-22,30,34145,H,Lunel,Transports et entreposage,3,0,0,0,1,0,0,0,0,0,0,1,5,3
2026-09-22,30,34145,M,Lunel,"Activites specialisees, scientifiques et techniques",1,0,0,0,1,0,0,0,0,0,0,3,5,1
2026-09-22,30,34145,N,Lunel,Services administratifs et de soutien,1,0,1,0,0,1,0,0,0,0,0,2,5,0
2026-09-22,30,34154,L,Mauguio,Activites immobilieres,3,0,1,0,0,0,0,0,0,0,0,1,5,3
2026-09-22,30,34154,F,Mauguio,Construction,0,0,0,0,0,0,0,1,0,0,1,4,5,0
2026-09-22,30,34155,F,Maureilhan,Construction,0,0,0,0,1,0,0,0,0,0,0,4,5,0
2026-09-22,30,34157,G,Mèze,"Commerce, reparation d'automobiles",3,0,0,0,0,0,0,0,0,0,0,2,5,3
2026-09-22,30,34163,F,Montarnaud,Construction,0,0,0,0,1,1,0,0,1,0,1,2,5,-2
2026-09-22,30,34169,M,Montferrier-sur-Lez,"Activites specialisees, scientifiques et techniques",0,0,0,0,0,0,0,0,0,0,0,5,5,0
2026-09-22,30,34192,G,Palavas-les-Flots,"Commerce, reparation d'automobiles",2,0,0,0,1,0,0,0,0,0,0,2,5,2
2026-09-22,30,34198,M,Pérols,"Activites specialisees, scientifiques et techniques",1,0,0,0,0,1,0,0,0,0,0,2,5,0
2026-09-22,30,34199,I,Pézenas,Hebergement et restauration,1,0,1,2,0,0,0,0,0,0,0,1,5,1
2026-09-22,30,34209,L,Portiragnes,Activites immobilieres,0,0,1,0,1,0,0,0,0,0,0,3,5,0
2026-09-22,30,34209,G,Portiragnes,"Commerce, reparation d'automobiles",0,0,0,0,0,0,0,0,0,0,0,5,5,0
2026-09-22,30,34217,G,Prades-le-Lez,"Commerce, reparation d'automobiles",1,0,0,0,1,1,0,0,0,0,0,2,5,0
