jour_fin,fenetre_jours,code_commune,section_naf,nom_commune,libelle_section_naf,nb_creations,nb_immatriculations,nb_transferts,nb_ventes_fonds,nb_modifications,nb_radiations,nb_sauvegardes,nb_redressements,nb_liquidations,nb_plans_cession,nb_defaillances,nb_depots_comptes,nb_evenements,solde_net
2026-09-22,30,34123,F,Juvignac,Construction,0,0,0,0,1,1,0,0,0,0,0,0,2,-1
2026-09-22,30,34123,M,Juvignac,"Activites specialisees, scientifiques et techniques",1,0,0,0,0,1,0,0,0,0,0,0,2,0
2026-09-22,30,34123,K,Juvignac,Activites financieres et d'assurance,0,0,1,0,0,0,0,0,0,0,0,1,2,0
2026-09-22,30,34127,L,Lansargues,Activites immobilieres,2,0,0,0,0,0,0,0,0,0,0,0,2,2
2026-09-22,30,34129,N,Lattes,Services administratifs et de soutien,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2026-09-22,30,34129,G,Lattes,"Commerce, reparation d'automobiles",0,0,0,0,0,1,0,0,1,0,1,0,2,-2
2026-09-22,30,34129,P,Lattes,Enseignement,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2026-09-22,30,34145,I,Lunel,Hebergement et restauration,0,0,0,0,0,1,0,0,0,0,0,0,2,-1
2026-09-22,30,34145,K,Lunel,Activites financieres et d'assurance,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2026-09-22,30,34147,G,Magalas,"Commerce, reparation d'automobiles",0,0,0,0,0,1,0,0,0,0,0,1,2,-1
2026-09-22,30,34148,G,Maraussan,"Commerce, reparation d'automobiles",1,0,0,0,1,0,0,0,0,0,0,0,2,1
2026-09-22,30,34154,F,Mauguio,Construction,0,0,0,0,0,0,0,1,0,0,1,1,2,0
2026-09-22,30,34154,Z,Mauguio,Secteur non renseigne,1,0,0,0,1,0,0,0,0,0,0,0,2,1
2026-09-22,30,34154,J,Mauguio,Information et communication,1,0,0,0,1,0,0,0,0,0,0,0,2,1
2026-09-22,30,34157,F,Mèze,Construction,0,0,0,0,0,1,0,0,0,0,0,0,2,-1
2026-09-22,30,34162,C,Montagnac,Industrie manufacturiere,0,0,0,0,0,1,0,0,0,0,0,1,2,-1
2026-09-22,30,34163,F,Montarnaud,Construction,0,0,0,0,0,1,0,0,0,0,0,1,2,-1
2026-09-22,30,34172,E,Montpellier,"Eau, assainissement, dechets",0,0,0,0,2,0,0,0,0,0,0,0,2,0
2026-09-22,30,34179,M,Murviel-lès-Montpellier,"Activites specialisees, scientifiques et techniques",0,0,0,0,0,0,0,0,0,0,0,2,2,0
2026-09-22,30,34192,G,Palavas-les-Flots,"Commerce, reparation d'automobiles",1,0,0,0,1,0,0,0,0,0,0,0,2,1
2026-09-22,30,34194,G,Paulhan,"Commerce, reparation d'automobiles",0,0,0,0,0,1,0,0,0,0,0,1,2,-1
2026-09-22,30,34198,L,Pérols,Activites immobilieres,0,0,1,0,1,0,0,0,0,0,0,0,2,0
2026-09-22,30,34199,I,Pézenas,Hebergement et restauration,1,0,1,0,0,0,0,0,0,0,0,0,2,1
2026-09-22,30,34213,G,Poussan,"Commerce, reparation d'automobiles",0,0,1,0,1,0,0,0,0,0,0,0,2,0
2026-09-22,30,34225,J,Puisserguier,Information et communication,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2026-09-22,30,34255,Z,Saint-Gély-du-Fesc,Secteur non renseigne,1,0,0,0,0,0,0,1,0,0,1,0,2,1
2026-09-22,30,34259,L,Saint-Georges-d'Orques,Activites immobilieres,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2026-09-22,30,34259,F,Saint-Georges-d'Orques,Construction,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2026-09-22,30,34270,H,Saint-Jean-de-Védas,Transports et entreposage,1,0,0,0,0,1,0,0,0,0,0,0,2,0
2026-09-22,30,34270,L,Saint-Jean-de-Védas,Activites immobilieres,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2026-09-22,30,34270,F,Saint-Jean-de-Védas,Construction,0,0,0,0,1,0,0,0,0,0,0,1,2,0
2026-09-22,30,34270,N,Saint-Jean-de-Védas,Services administratifs et de soutien,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2026-09-22,30,34276,L,Saint-Mathieu-de-Tréviers,Activites immobilieres,1,0,0,0,0,0,0,0,0,0,0,1,2,1
2026-09-22,30,34280,M,Saint-Nazaire-de-Pézan,"Activites specialisees, scientifiques et techniques",0,0,0,0,2,0,0,0,0,0,0,0,2,0
2026-09-22,30,34296,C,Saussines,Industrie manufacturiere,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2026-09-22,30,34298,G,Sauvian,"Commerce, reparation d'automobiles",1,0,0,0,0,1,0,0,0,0,0,0,2,0
2026-09-22,30,34301,C,Sète,Industrie manufacturiere,0,0,0,0,1,0,0,0,0,0,0,1,2,0
2026-09-22,30,34301,H,Sète,Transports et entreposage,1,0,0,0,0,0,0,0,0,0,0,1,2,1
2026-09-22,30,34310,L,Thézan-lès-Béziers,Activites immobilieres,1,0,0,0,0,1,0,0,0,0,0,0,2,0
2026-09-22,30,34320,M,Vailhauquès,"Activites specialisees, scientifiques et techniques",0,0,1,0,0,0,0,0,0,0,0,1,2,0
2026-09-22,30,34327,G,Vendargues,"Commerce, reparation d'automobiles",0,0,0,0,0,1,0,0,0,0,0,1,2,-1
2026-09-22,30,34327,N,Vendargues,Services administratifs et de soutien,1,0,0,0,0,0,0,0,0,0,0,1,2,1
2026-09-22,30,34327,F,Vendargues,Construction,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2026-09-22,30,34329,G,Vendres,"Commerce, reparation d'automobiles",0,0,0,0,1,1,0,0,0,0,0,0,2,-1
2026-09-22,30,34340,J,Villetelle,Information et communication,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2026-09-22,30,34341,C,Villeveyrac,Industrie manufacturiere,0,0,0,0,1,0,0,0,0,0,0,1,2,0
2026-09-22,30,34344,P,La Grande-Motte,Enseignement,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2026-09-22,30,34344,G,La Grande-Motte,"Commerce, reparation d'automobiles",1,0,1,0,0,0,0,0,0,0,0,0,2,1
2026-09-22,30,,I,"Rimeize, Clermont-l'Hérault",Hebergement et restauration,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2026-09-22,30,,G,"Avignon, Béziers","Commerce, reparation d'automobiles",0,0,0,1,0,0,0,0,0,0,0,0,1,0
2026-09-22,30,,R,Lyon IIe arrondissement,"Arts, spectacles et activites recreatives",0,0,0,0,0,0,0,0,0,0,0,0,1,0
2026-09-22,30,34002,K,Adissan,Activites financieres et d'assurance,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34002,G,Adissan,"Commerce, reparation d'automobiles",1,0,0,0,0,0,0,0,0,0,0,0,1,1
2026-09-22,30,34002,M,Adissan,"Activites specialisees, scientifiques et techniques",0,0,0,0,1,0,0,0,0,0,0,0,1,0
2026-09-22,30,34003,P,Agde,Enseignement,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2026-09-22,30,34003,C,Agde,Industrie manufacturiere,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2026-09-22,30,34003,S,Agde,Autres activites de services,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2026-09-22,30,34005,S,Agonès,Autres activites de services,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2026-09-22,30,34009,A,Alignan-du-Vent,"Agriculture, sylviculture et peche",1,0,0,0,0,0,0,0,0,0,0,0,1,1
2026-09-22,30,34017,M,Aumes,"Activites specialisees, scientifiques et techniques",0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34017,L,Aumes,Activites immobilieres,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2026-09-22,30,34018,N,Autignac,Services administratifs et de soutien,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2026-09-22,30,34019,L,Avène,Activites immobilieres,0,0,0,0,0,1,0,0,0,0,0,0,1,-1
2026-09-22,30,34022,K,Baillargues,Activites financieres et d'assurance,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34022,N,Baillargues,Services administratifs et de soutien,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2026-09-22,30,34022,L,Baillargues,Activites immobilieres,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34023,C,Balaruc-les-Bains,Industrie manufacturiere,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2026-09-22,30,34023,K,Balaruc-les-Bains,Activites financieres et d'assurance,0,0,0,0,0,0,0,0,0,0,0,1,1,0
